City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
411,pionerskiy,54.9508,20.2275,17.64,63,66,6.93,RU,1689467137
412,xining,36.6167,101.7667,14.23,64,30,1.23,CN,1689467138
413,marquard,-28.6645,27.4305,3.62,73,1,0.81,ZA,1689467138
414,lakeway,30.3638,-97.9796,39.86,30,0,4.12,US,1689467138
415,rio grande,-32.035,-52.0986,10.06,79,86,2.57,BR,1689467023
416,kolwezi,-10.7148,25.4667,13.69,59,0,2.84,CD,1689467139
417,xinzhou,38.4092,112.7333,21.93,47,3,1.34,CN,1689467140
418,guarapari,-20.6667,-40.4975,18.83,71,36,1.59,BR,1689467140
419,shimoda,34.6667,138.95,28.2,88,90,8.4,JP,1689467140
420,okha,53.5739,142.9478,16.2,64,75,4.15,RU,1689467141
421,cedeira,43.6797,-8.0209,16.88,84,17,3.72,ES,1689467141
422,nemuro,43.3236,145.575,13.07,98,100,4.72,JP,1689467141
423,abqaiq,25.9371,49.6776,30.46,52,4,1.25,SA,1689467142
424,praia da vitoria,38.7333,-27.0667,21.14,88,75,4.97,PT,1689466951
425,shenjiamen,29.9576,122.298,26.54,90,14,5.14,CN,1689467142
426,duba,27.3513,35.6901,31.16,47,0,1.22,SA,1689467143
427,kato achaia,38.15,21.55,28.32,73,0,0.0,GR,1689467143
428,la rioja,42.25,-2.5,13.88,87,56,1.74,ES,1689467094
429,turpan,42.9333,89.1667,37.87,12,22,1.35,CN,1689467144
430,altay,47.8667,88.1167,23.45,45,30,2.06,CN,1689467144
431,galliano,29.4422,-90.2992,34.0,59,0,3.09,US,1689467145
432,inhambane,-23.865,35.3833,17.21,81,0,1.43,MZ,1689467145
433,parabel',58.6978,81.4825,13.07,97,64,2.93,RU,1689467145
434,victorica,-36.2151,-65.4359,6.98,44,1,3.62,AR,1689467146
435,queenstown,-31.8976,26.8753,10.84,48,52,4.44,ZA,1689467146
436,jinja,0.439,33.2032,20.49,72,18,1.86,UG,1689467147
437,morehead city,34.7229,-76.726,28.36,89,20,6.26,US,1689467147
438,dalby,-27.1833,151.2667,17.54,54,0,0.75,AU,1689467147
439,canto do buriti,-8.11,-42.9444,25.19,39,1,2.07,BR,1689467148
440,woodward,36.4337,-99.3904,31.57,43,0,3.09,US,1689467103
441,tukrah,32.5341,20.5791,25.58,79,0,4.34,LY,1689467148
442,waingapu,-9.6567,120.2641,24.57,73,49,3.69,ID,1689467149
443,ipora,-16.4419,-51.1178,21.39,45,30,0.76,BR,1689467000
444,bhandaria,22.4861,90.0609,27.0,87,100,5.4,BD,1689467149
445,arpacay,40.8487,43.3291,13.8,83,0,2.86,TR,1689467150
